ST	glp	gmk	ilv	pta	pur	pyc	tpi	clonal_complex
729	163	10	5	174	83	70	133	
730	164	104	194	175	22	92	77	
731	165	103	195	176	169	145	11	
732	154	51	104	168	109	92	79	
733	59	68	192	48	42	101	26	
734	25	10	22	165	83	23	11	
735	162	10	22	15	83	23	11	
736	163	10	22	36	22	70	11	
737	166	10	5	174	170	70	11	
738	167	10	196	177	169	145	134	
739	164	104	194	175	171	92	77	
740	18	10	197	176	169	145	11	
741	64	10	195	176	169	147	11	
742	163	10	5	174	170	70	133	
743	167	103	197	176	169	145	11	
744	37	28	14	12	37	157	144	
745	12	8	9	192	11	12	10	
746	81	53	117	193	113	93	145	
748	47	8	14	12	2	36	142	
749	14	17	40	191	2	17	17	
750	22	9	211	18	20	19	7	
751	37	9	14	12	12	14	141	ST-18 complex
752	93	6	198	8	4	7	21	
753	99	28	14	12	2	25	136	
754	179	53	117	70	113	93	24	
755	12	8	43	11	179	104	8	
756	12	8	43	11	179	104	7	
757	12	8	43	11	179	104	9	
758	12	8	43	28	9	12	23	
759	13	47	9	11	68	12	7	ST-142 complex
760	15	6	29	46	4	8	21	ST-97 complex
761	19	2	59	65	19	3	55	ST-205 complex
762	72	42	69	42	88	41	30	
763	193	114	221	199	189	168	154	
764	178	27	209	184	131	169	100	
765	194	115	222	200	190	170	155	
766	13	8	9	201	9	12	23	ST-142 complex
767	102	35	107	22	96	20	156	
768	195	121	230	211	197	177	161	
769	202	116	223	202	118	171	128	
770	196	2	224	203	19	3	38	
771	197	117	225	204	191	172	100	
772	3	23	132	152	38	37	157	
773	24	12	33	205	44	31	158	
774	198	22	33	37	192	38	5	
775	199	31	231	206	45	53	159	
776	15	6	29	9	4	8	70	ST-97 complex
777	66	108	199	179	53	148	26	
778	56	1	93	1	193	37	160	
779	41	6	23	9	4	173	21	
780	200	118	226	207	194	174	162	
781	203	115	227	208	195	175	163	
782	16	119	170	9	4	7	21	
783	126	120	228	209	4	114	37	
784	201	36	229	210	196	176	32	
785	12	8	8	7	9	12	7	ST-142 complex
786	16	25	12	9	4	7	15	
787	172	71	14	29	24	14	7	
788	168	109	200	180	172	149	37	
789	169	109	200	180	172	150	37	
790	170	109	201	181	173	149	37	
791	168	109	200	180	172	151	37	
792	171	109	200	180	172	151	137	
793	49	31	202	43	45	152	37	
794	173	110	203	94	42	153	138	
795	51	2	21	5	19	3	2	ST-205 complex
796	15	7	7	2	60	10	13	ST-23 complex
797	93	58	10	8	4	7	21	
798	15	7	7	2	1	8	13	ST-23 complex
799	13	8	8	107	9	12	10	ST-142 complex
800	83	26	35	40	39	41	63	ST-111 complex
801	20	8	26	11	9	13	10	
802	56	1	83	1	50	52	24	
803	13	8	8	30	9	13	10	ST-142 complex
804	31	8	9	19	2	109	8	
805	12	17	40	19	2	17	10	
806	12	8	26	11	9	13	5	
807	33	8	40	30	29	17	135	
808	33	8	40	19	60	17	17	
809	14	8	36	30	8	17	7	
810	14	8	40	19	29	17	10	
811	3	2	63	5	16	3	4	
812	102	64	204	22	96	20	26	
813	174	35	205	187	42	20	26	
814	144	10	206	36	174	23	11	
815	175	56	75	188	64	85	26	
816	176	35	204	22	96	20	26	
817	175	56	207	188	64	96	26	
818	43	50	208	186	128	41	30	
819	87	26	35	42	175	41	30	ST-111 complex
820	87	26	35	42	39	41	139	ST-111 complex
821	93	6	29	189	4	86	39	
822	7	17	36	182	60	109	10	
823	177	2	165	5	176	3	84	
824	33	1	40	183	29	17	10	
825	178	27	209	184	131	42	100	
826	17	5	6	3	60	154	12	
827	20	8	36	19	9	155	7	
828	33	6	36	185	29	17	10	
829	43	111	35	186	177	41	30	ST-111 complex
830	15	8	15	2	2	16	7	ST-8 complex
831	10	8	15	12	2	16	13	
832	3	2	63	5	36	3	9	
833	9	8	16	13	2	16	4	ST-8 complex
834	9	8	16	13	2	16	7	ST-8 complex
835	91	9	30	26	97	50	7	
836	12	8	16	11	9	13	5	
837	85	56	75	64	64	14	26	
838	87	42	69	42	88	85	30	
839	107	64	204	22	96	31	26	
840	12	8	8	11	36	12	4	ST-142 complex
841	15	7	7	2	7	6	13	ST-23 complex
842	24	12	210	21	23	31	58	
843	126	17	133	190	178	114	140	
844	40	9	14	2	12	14	13	ST-18 complex
845	12	8	9	7	122	12	7	
846	13	8	8	7	122	12	7	ST-142 complex
847	15	7	7	2	60	8	13	ST-23 complex
848	14	8	36	30	29	17	10	
849	33	8	9	19	2	109	10	
850	14	17	40	19	9	155	10	
851	17	6	36	183	29	17	17	
852	14	8	13	30	29	17	17	
853	33	6	40	30	2	17	7	
854	11	9	14	29	4	14	7	ST-18 complex
855	33	8	13	19	60	17	13	
856	22	7	7	2	60	10	13	ST-23 complex
857	91	9	14	18	20	19	7	
858	50	8	14	12	36	36	7	
859	7	8	15	12	2	16	26	ST-8 complex
860	79	52	32	70	55	37	8	
861	7	8	16	13	2	16	8	ST-8 complex
862	102	35	171	22	98	37	26	
863	181	1	1	1	33	37	24	
864	13	8	9	11	11	12	7	ST-142 complex
865	145	1	83	1	55	37	90	
866	145	1	1	1	50	52	153	
867	20	17	212	30	2	35	7	
868	24	12	50	19	29	31	10	
869	19	2	59	5	19	3	2	ST-205 complex
870	14	17	40	30	60	17	17	
871	33	8	40	19	2	17	10	
872	14	8	13	30	180	17	7	
873	56	113	165	194	181	3	84	
874	14	8	40	19	29	17	135	
875	14	8	213	30	41	17	7	
876	24	12	50	21	182	31	4	
877	13	8	9	195	9	12	10	ST-142 complex
878	182	52	214	196	183	37	152	
879	117	107	40	197	184	165	150	
880	183	106	162	149	185	166	151	
881	14	8	40	19	60	167	10	
882	20	8	40	19	2	155	10	
883	184	8	36	30	29	17	7	
884	185	107	40	197	184	165	150	
885	33	6	40	30	2	17	17	
886	43	50	35	125	70	41	30	ST-111 complex
887	186	62	215	94	174	158	26	
888	187	62	111	94	96	159	26	
889	175	56	75	188	186	85	26	
890	175	62	94	94	187	86	146	
891	186	62	220	94	174	160	147	
892	186	62	215	94	175	158	26	
893	188	10	216	36	104	161	11	
894	71	105	215	48	42	61	49	
895	89	35	215	22	85	20	148	
896	175	56	75	188	186	162	26	
897	189	10	89	36	188	163	149	
898	71	41	66	48	42	164	49	
899	190	112	217	48	42	61	49	
900	85	56	204	64	64	85	26	
901	191	41	66	48	42	61	49	
902	175	56	75	198	186	85	26	
903	13	8	218	11	122	12	8	ST-142 complex
904	192	41	66	48	42	61	49	
905	188	10	206	36	104	23	11	
906	204	122	20	212	198	125	164	
907	205	123	107	213	199	10	165	
908	115	124	119	116	119	108	88	
909	206	1	32	214	18	29	19	
910	207	1	28	1	1	37	42	
911	65	1	93	1	51	37	166	
912	56	1	32	86	18	53	64	
913	167	10	10	215	169	101	11	
914	18	10	5	216	200	136	167	
915	23	10	5	216	201	38	11	
916	165	103	189	176	202	145	11	
917	64	10	230	36	57	23	11	ST-196 complex
918	152	10	5	218	57	136	11	
919	64	10	22	36	39	23	168	
920	172	71	104	29	24	14	7	
921	13	125	8	11	11	12	169	ST-142 complex
922	208	8	48	219	58	87	7	
923	22	9	18	220	151	19	7	
924	208	8	68	45	9	87	7	
925	33	126	13	19	60	17	10	
926	210	8	68	11	39	12	10	
927	15	20	145	8	4	8	21	ST-97 complex
928	15	20	145	8	4	8	170	ST-97 complex
929	139	13	35	139	24	124	35	
930	211	127	221	221	57	10	171	
931	212	128	243	222	203	8	65	
932	202	116	223	174	205	171	128	
933	65	1	1	1	1	1	1	
934	213	116	223	223	118	107	128	
935	34	1	83	1	18	29	5	ST-365 complex
936	215	116	98	170	207	144	172	
937	216	129	223	225	17	171	128	
938	217	2	122	5	19	3	91	ST-205 complex
939	19	2	189	5	208	18	2	ST-205 complex
940	109	18	120	24	20	30	173	
941	109	18	120	24	57	30	173	
942	109	18	120	24	83	30	175	
943	218	87	104	69	103	185	18	
944	26	51	104	120	110	20	79	
945	26	51	104	120	110	168	79	
946	81	53	117	71	209	93	80	
947	219	78	186	169	164	143	103	
948	220	118	7	226	210	188	176	
949	102	130	107	22	96	20	26	
950	221	131	247	227	211	42	177	
951	142	83	7	141	212	125	106	
952	64	132	249	228	213	190	178	
953	59	133	149	229	214	122	179	
954	25	10	22	15	31	23	11	
955	64	10	22	15	17	23	11	
956	18	10	5	15	118	9	11	
957	18	10	5	15	1	9	11	
958	18	10	79	36	77	70	18	
959	37	9	14	18	20	14	7	ST-18 complex
960	7	8	15	12	2	16	7	ST-8 complex
961	12	8	11	11	58	13	5	
962	13	8	8	7	9	12	7	ST-142 complex
963	13	8	9	107	29	12	81	
964	14	8	9	81	60	12	7	
965	117	9	18	12	25	14	7	ST-18 complex
966	14	8	8	30	10	62	10	
967	13	8	8	30	4	12	53	ST-142 complex
968	15	20	23	8	4	64	39	
969	134	13	84	84	84	73	74	
970	98	13	84	84	25	73	74	
971	134	13	58	88	189	78	66	
972	83	26	35	42	39	41	30	ST-111 complex
973	43	74	35	40	39	41	30	ST-111 complex
974	43	26	35	42	9	41	30	ST-111 complex
975	19	2	21	5	114	3	2	ST-205 complex
976	59	68	192	48	42	128	26	
977	26	21	104	68	27	32	61	ST-336 complex
978	81	53	117	193	113	93	80	
979	82	51	110	74	109	92	74	
980	64	51	127	36	57	23	11	
981	18	10	5	66	75	22	18	
982	84	10	79	36	56	22	11	ST-196 complex
983	103	64	5	15	94	70	11	
984	64	10	5	224	56	22	18	ST-196 complex
985	64	10	22	217	57	22	11	ST-196 complex
986	121	51	158	121	109	92	79	
987	64	10	22	36	17	23	11	ST-196 complex
988	26	134	104	73	27	32	61	ST-336 complex
989	3	2	32	5	16	3	4	
990	65	1	93	1	51	37	24	
991	94	2	232	5	32	156	143	
992	201	36	233	56	53	178	174	
993	11	9	14	12	11	14	180	ST-18 complex
994	19	2	234	5	208	18	91	
995	214	2	59	17	19	3	2	ST-205 complex
996	6	4	42	4	16	6	181	
997	209	4	3	4	16	6	3	
998	33	8	13	11	8	17	7	
999	13	8	8	11	11	12	10	ST-142 complex
1000	13	8	8	58	122	12	7	ST-142 complex
1001	46	9	14	12	206	14	7	ST-18 complex
1002	7	8	9	96	215	88	8	
1003	15	6	10	230	4	178	174	
1004	93	7	7	2	7	26	182	
1005	68	54	235	2	98	84	13	
1006	15	6	47	8	4	8	21	ST-97 complex
1007	222	36	236	231	54	179	32	
1008	84	10	22	217	57	22	11	
1009	16	6	170	9	4	7	21	
1010	16	6	170	9	4	39	21	
1011	26	51	104	120	110	92	79	
1012	26	51	104	120	110	180	79	
1013	13	8	8	30	10	62	10	
1014	206	1	83	1	18	29	5	
1015	55	72	144	37	49	31	41	
1016	53	2	59	5	47	3	2	ST-205 complex
1017	51	2	21	153	19	3	2	ST-205 complex
1018	79	52	32	70	55	37	71	
1019	56	1	55	151	55	37	88	
1020	65	1	28	86	30	37	19	
1021	20	8	43	19	29	17	7	
1022	73	22	115	50	45	53	88	
1023	13	8	9	30	9	15	7	ST-142 complex
1024	56	38	1	1	18	53	19	
1025	14	8	8	30	9	62	10	
1026	12	8	68	30	10	15	10	
1027	174	5	29	49	191	154	80	
1028	223	8	9	14	9	12	31	
1029	3	2	31	5	19	3	91	ST-205 complex
1030	22	2	63	5	36	3	4	
1031	14	8	111	11	9	104	8	
1032	117	4	123	118	43	6	3	
1033	81	53	8	193	113	93	80	
1034	13	8	122	107	38	12	88	
1035	3	2	31	5	9	3	4	
1036	5	2	122	5	39	3	91	
1037	11	9	14	12	16	14	180	ST-18 complex
1038	58	34	31	48	16	20	26	
1039	3	2	31	5	32	3	4	
1040	3	2	31	5	52	3	4	
1041	3	2	31	5	12	3	4	
1042	43	26	59	42	19	41	63	ST-111 complex
1043	19	2	70	60	181	3	43	
1044	12	8	8	11	4	12	8	ST-142 complex
1045	13	9	14	12	12	14	180	ST-18 complex
1046	11	2	63	5	36	3	4	
1047	3	9	18	220	20	19	7	
1048	22	7	7	2	7	10	13	ST-23 complex
1049	85	56	59	64	64	85	26	
1050	65	1	93	214	51	37	166	
1051	3	2	63	5	36	3	55	
1052	47	28	31	26	2	36	7	
1053	19	2	21	5	16	3	55	ST-205 complex
1054	19	2	31	5	16	3	55	ST-205 complex
1055	19	2	63	5	19	3	55	ST-205 complex
1056	22	2	18	5	36	19	7	
1057	110	56	9	102	112	96	26	
1058	3	23	122	152	38	43	88	
1059	24	22	14	37	34	14	180	
1060	3	26	59	17	19	126	55	
1061	43	26	59	42	39	41	63	ST-111 complex
1062	73	43	224	60	64	63	32	
1063	22	9	18	220	20	19	7	
1064	12	8	28	14	11	12	10	
1065	3	2	31	5	19	3	2	ST-205 complex
1066	19	2	31	5	19	3	91	ST-205 complex
1067	19	4	31	5	43	46	91	
1068	6	40	41	59	61	60	3	
1069	70	8	65	11	9	12	48	ST-142 complex
1070	13	2	8	5	19	3	7	ST-205 complex
1071	3	4	63	4	204	6	4	
1072	6	4	8	5	36	6	181	
1073	3	2	63	5	19	3	4	ST-205 complex
1074	67	2	63	5	216	3	4	
1075	179	53	117	232	113	93	80	
1076	19	2	21	5	36	156	183	ST-205 complex
1077	40	9	14	12	217	181	7	ST-18 complex
1078	12	71	8	30	10	15	7	
1079	14	8	43	11	9	104	184	
1080	224	135	237	233	53	56	148	
1081	102	136	107	234	96	20	26	
1082	34	1	238	1	18	33	24	ST-365 complex
1083	96	8	36	30	41	17	185	
1084	19	2	239	5	19	3	2	ST-205 complex
1085	74	137	85	62	66	66	186	
1086	24	138	33	37	218	38	5	
1087	15	6	23	235	4	8	39	ST-97 complex
1088	1	2	3	4	5	6	7	
1089	40	28	14	26	2	25	7	
1090	144	10	22	36	158	129	11	
1091	8	10	190	53	22	129	187	
1092	82	51	104	237	163	92	188	
1093	228	140	244	239	222	182	189	
1094	86	57	81	80	220	128	113	
1095	108	139	104	69	221	92	79	
1096	226	31	45	238	219	49	37	
1097	225	70	114	236	116	105	32	
1098	64	10	240	36	17	22	11	ST-196 complex
1099	227	8	241	11	9	12	10	ST-142 complex
1100	15	7	242	2	93	26	13	ST-23 complex
1101	15	54	245	2	98	84	13	
1102	15	7	7	2	95	26	13	ST-23 complex
1103	15	7	7	2	16	84	13	ST-23 complex
1104	15	7	7	2	4	8	13	ST-23 complex
1105	15	6	10	8	3	21	14	
1106	37	6	24	8	3	14	7	
1107	22	9	14	12	2	14	7	ST-18 complex
1108	107	64	204	22	96	20	26	
1109	15	7	7	2	16	10	13	ST-23 complex
1110	15	7	53	2	16	10	13	ST-23 complex
1111	15	7	118	2	29	66	13	ST-23 complex
1112	3	2	63	7	36	3	4	
1113	15	7	9	2	9	12	13	ST-23 complex
1114	34	1	51	16	2	16	24	
1115	15	7	7	2	3	10	13	ST-23 complex
1116	14	8	9	5	10	15	10	
1117	107	8	48	45	58	87	7	
1118	19	2	59	5	36	3	2	ST-205 complex
1119	34	1	71	16	18	33	24	ST-365 complex
1120	19	2	31	17	19	3	2	ST-205 complex
1121	17	5	6	3	4	34	12	
1122	45	35	20	22	42	20	26	
1123	16	6	12	9	4	173	15	
1124	58	34	54	48	52	20	26	
1125	22	9	76	18	20	19	7	
1126	3	2	10	8	36	3	4	
1127	22	9	18	18	3	19	7	
1128	64	10	127	36	57	161	11	ST-196 complex
1129	25	10	127	36	26	98	11	
1130	26	21	14	25	27	32	18	ST-336 complex
1131	32	141	26	30	9	28	10	
1132	15	143	10	242	4	17	14	
1133	232	8	48	45	58	87	7	
1134	14	8	8	19	29	17	191	
1135	24	12	246	21	72	31	19	
1136	17	5	6	3	223	34	12	
1137	229	5	248	240	127	183	190	
1138	229	5	248	240	16	183	190	
1139	86	57	81	80	42	128	32	
1140	230	142	250	180	16	149	37	
1141	231	22	118	241	66	66	75	
1142	18	10	174	36	17	22	11	ST-196 complex
1143	12	17	14	178	24	35	192	
1144	64	10	22	165	57	23	11	
1145	59	36	251	50	53	56	26	
1146	233	78	186	169	164	143	103	
1147	136	78	252	169	164	143	103	
1148	15	6	10	8	4	7	14	ST-97 complex
1149	113	31	231	43	45	53	159	
1150	33	8	13	19	2	17	7	
1151	14	144	170	9	224	7	21	
1152	13	8	8	10	2	17	17	
1153	7	145	253	26	225	50	7	
1154	40	8	14	12	2	50	7	
1155	40	8	14	26	2	36	7	
1156	43	42	35	42	88	41	63	ST-111 complex
1157	19	14	21	5	19	3	91	ST-205 complex
1158	15	6	47	9	4	8	70	ST-97 complex
1159	198	138	33	37	192	38	5	
1160	33	8	13	19	8	17	7	
1161	126	146	133	46	4	114	37	
1162	15	147	254	11	4	184	7	
1163	33	8	40	30	29	17	193	
1164	15	147	254	11	4	121	7	
1165	236	2	154	5	32	3	22	
1166	236	35	107	22	96	20	26	
1167	235	110	110	243	226	186	194	
1168	74	22	118	62	66	66	52	
1169	33	8	44	19	2	17	104	
1170	24	22	33	37	192	38	5	
1171	11	8	14	11	2	36	7	
1172	64	10	79	36	160	99	11	ST-196 complex
1173	33	47	13	19	2	17	7	
1174	15	7	14	2	93	8	13	ST-23 complex
1175	155	95	107	166	42	142	26	
1176	198	9	18	18	192	38	7	
1177	64	10	22	15	83	23	13	
1178	68	54	16	2	84	73	11	
1179	102	10	107	22	96	20	26	
1180	13	8	8	11	11	41	7	ST-142 complex
1181	156	95	78	40	39	41	5	
1182	198	9	18	220	192	38	7	
1183	155	95	94	166	42	142	26	
1184	15	7	14	2	98	8	13	ST-23 complex
1185	11	8	14	12	11	36	7	ST-18 complex
1186	234	8	8	30	41	17	17	
1187	55	148	255	4	69	187	3	
1188	20	8	262	11	227	15	10	
1189	13	8	263	11	9	12	3	ST-142 complex
1190	6	4	259	4	43	46	3	
1191	13	8	260	28	4	12	10	
1192	33	8	40	19	2	17	7	
1193	20	8	8	12	41	17	17	
1194	172	71	14	12	24	14	7	ST-18 complex
1195	33	8	8	12	41	17	17	
1196	91	9	102	244	97	50	7	
1197	91	9	256	18	20	35	7	
1198	22	9	257	18	20	19	7	
1199	12	9	14	26	228	14	195	
1200	22	9	14	18	20	19	7	
1201	237	140	258	245	229	189	197	
1202	12	9	14	26	228	14	196	
1203	22	9	18	246	20	19	7	
1204	22	9	39	247	228	19	7	
1205	12	9	14	29	228	50	7	
1206	37	9	14	18	11	14	7	ST-18 complex
1207	14	8	13	19	2	17	7	
1208	91	9	102	244	97	50	21	
1209	43	26	35	40	39	41	63	ST-111 complex
1210	7	8	9	96	215	88	10	
1211	58	34	111	48	52	20	26	
1212	6	4	41	5	43	6	3	
1213	11	9	14	12	12	14	190	ST-18 complex
1214	238	8	14	12	37	36	142	
1215	13	8	262	11	9	12	7	ST-142 complex
1216	46	28	14	248	2	50	7	
1217	13	8	260	11	9	12	10	ST-142 complex
1218	13	8	9	107	9	12	10	ST-142 complex
1219	239	31	115	249	117	53	37	
1220	94	2	100	5	32	156	2	
1221	19	2	21	5	19	3	36	ST-205 complex
1222	73	73	129	22	127	63	26	
1223	55	1	83	1	230	37	43	
1224	5	4	3	4	15	6	3	
1225	5	4	121	4	15	6	16	
1226	6	4	3	4	16	6	3	
1227	240	30	33	37	44	31	198	
1228	209	4	42	4	16	6	181	
1229	13	8	261	11	9	88	8	ST-142 complex
1230	13	8	8	11	131	12	10	ST-142 complex
1231	40	9	14	12	131	25	7	ST-18 complex
1232	37	28	15	26	86	36	7	
1233	14	8	40	30	60	17	17	
1234	40	9	14	12	16	25	7	ST-18 complex
1235	14	8	36	19	29	17	7	
1236	13	8	9	11	9	12	7	ST-142 complex
1237	13	8	9	195	9	12	31	ST-142 complex
1238	46	9	14	12	86	25	7	ST-18 complex
1239	14	8	40	30	29	17	7	
1240	48	30	33	250	231	103	5	
1241	241	8	8	10	8	17	17	
1242	242	8	9	19	60	17	7	
1243	11	9	14	29	232	27	7	ST-18 complex
1244	33	8	13	251	233	17	7	
1245	14	8	13	252	2	17	10	
1246	33	8	146	19	2	17	7	
1247	126	6	12	46	4	114	37	
1248	13	6	170	9	4	191	7	
1249	126	6	264	209	4	114	37	
1250	14	8	40	30	2	17	17	
1251	84	10	5	36	17	22	11	ST-196 complex
1252	157	51	104	74	109	92	79	
1253	64	10	265	36	17	22	11	ST-196 complex
1254	144	10	5	36	234	70	11	
1255	155	95	266	166	235	192	127	
1256	7	8	15	12	2	16	199	ST-8 complex
1257	43	26	35	42	100	41	63	ST-111 complex
1258	15	20	29	8	4	8	21	ST-97 complex
1259	14	8	9	11	9	88	8	
1260	110	56	111	40	112	96	26	
1261	15	143	10	242	4	7	14	
1262	24	12	50	21	23	58	19	
1263	34	1	124	16	18	33	89	ST-365 complex
1264	83	26	143	186	91	41	30	
1265	15	7	7	2	93	26	13	ST-23 complex
1266	102	35	168	22	96	20	26	
1267	59	136	107	22	96	20	26	
1268	102	35	171	22	96	20	78	
1269	102	136	107	22	96	20	26	
1270	102	35	107	22	96	20	26	
1271	102	136	267	22	236	20	26	
1272	102	35	168	22	96	193	78	
1273	135	85	71	36	118	107	49	
1274	14	8	13	11	2	17	17	
1275	12	8	9	11	60	12	7	ST-142 complex
1276	15	6	145	46	4	8	21	ST-97 complex
1277	68	20	23	8	4	8	170	
1278	12	17	14	178	24	35	7	
1279	15	7	7	2	7	10	200	ST-23 complex
1280	33	8	13	19	8	17	201	
1281	7	8	15	13	2	16	7	ST-8 complex
1282	122	8	8	11	4	12	10	ST-142 complex
1283	246	2	21	5	19	3	91	ST-205 complex
1284	247	1	83	1	239	37	43	
1285	122	28	9	14	9	12	204	
1286	99	149	13	30	41	17	31	
1287	14	8	36	19	29	17	10	
1288	14	8	9	96	9	88	8	
1289	248	9	14	26	228	14	7	ST-18 complex
1290	13	8	8	11	9	12	8	ST-142 complex
1291	115	23	132	116	38	43	90	
1292	249	8	8	7	122	12	7	ST-142 complex
1293	40	8	14	44	2	25	7	
1294	113	31	9	43	117	53	37	
1295	6	4	270	5	43	6	3	
1296	4	3	4	6	13	5	203	
1297	33	8	13	255	2	17	7	
1298	14	8	40	19	240	17	7	
1299	168	109	200	256	172	196	37	
1300	243	7	7	257	7	26	205	
1301	15	150	268	2	7	8	13	ST-23 complex
1302	245	109	272	180	237	194	37	
1303	250	1	238	254	241	195	197	
1304	251	118	273	207	238	197	202	
1305	3	13	31	23	25	44	35	
1306	229	5	271	240	9	183	190	
1307	239	142	269	180	4	149	37	
1308	244	13	274	253	84	44	74	
1309	134	13	275	253	84	44	35	
1310	113	31	115	249	117	53	37	
1311	55	12	33	37	49	31	41	
1312	14	31	231	43	45	53	159	
1313	15	8	68	11	9	12	10	ST-142 complex
1314	239	31	115	43	117	53	159	
1315	34	31	32	1	18	33	24	ST-365 complex
1316	43	74	53	42	39	112	96	
1317	13	8	68	30	9	62	10	
1318	110	56	29	102	112	96	26	
1319	40	8	166	26	2	36	208	
1320	117	9	151	18	12	14	206	
1321	252	6	29	9	4	7	21	
1322	19	8	31	5	19	3	2	ST-205 complex
1323	6	4	29	5	43	5	3	
1324	93	6	29	9	4	39	207	
1325	19	6	29	9	4	7	21	
1326	3	2	111	5	16	3	2	ST-205 complex
1327	7	6	241	46	9	88	8	
1328	3	9	14	12	16	14	4	ST-18 complex
1329	12	8	8	11	11	12	7	ST-142 complex
1330	3	2	21	5	19	3	55	ST-205 complex
1331	11	9	14	12	12	14	180	ST-18 complex
1332	249	8	261	11	36	12	7	ST-142 complex
1333	241	8	8	12	2	17	17	
1334	3	2	8	5	36	3	4	
1335	14	8	8	19	29	17	10	
1336	13	2	8	11	9	12	7	ST-142 complex
1337	242	2	8	12	2	17	17	
1338	3	2	8	5	16	3	4	
1339	93	6	23	9	242	198	15	
1340	3	2	9	5	36	3	4	
1341	127	27	276	126	131	42	100	
1342	229	5	271	126	16	183	190	
1343	67	2	8	5	36	3	4	
1344	67	2	9	5	36	3	4	
1345	229	5	271	240	11	183	190	
1346	109	18	120	24	31	30	175	
1347	67	8	8	5	36	3	4	
1348	15	7	7	2	96	26	13	ST-23 complex
1349	36	15	28	1	30	29	25	
1350	253	142	269	180	237	149	37	
1351	254	30	277	37	44	199	5	
1352	40	9	53	12	16	6	7	
1353	37	9	14	12	36	183	7	ST-18 complex
1354	6	26	53	4	16	6	3	
1355	40	9	14	12	12	14	7	ST-18 complex
1356	48	30	33	5	44	103	5	
1357	67	2	63	5	16	3	4	
1358	67	2	63	37	36	3	4	
1359	3	2	59	5	19	3	2	ST-205 complex
1360	209	4	3	4	14	4	3	
1361	40	9	14	12	9	14	7	ST-18 complex
1362	6	4	42	4	19	3	181	
1363	40	26	3	4	15	6	16	
1364	6	4	42	4	36	6	181	
1365	13	8	8	11	12	12	7	ST-142 complex
1366	19	2	21	5	19	3	183	ST-205 complex
1367	19	2	42	4	16	6	181	
1368	67	2	63	4	36	3	4	
1369	5	4	3	5	15	6	16	
1370	22	9	18	18	60	19	7	
1371	59	35	31	22	72	95	26	
1372	12	2	31	5	16	3	4	
1373	117	4	3	4	15	6	16	
1374	7	9	14	12	2	36	7	ST-18 complex
1375	3	2	31	5	20	3	4	
1376	19	2	234	5	19	3	2	ST-205 complex
1377	3	2	31	4	16	3	4	
1378	21	2	86	5	32	18	2	
1379	15	26	23	235	43	12	7	
1380	22	26	18	220	20	12	7	
1381	117	26	18	220	20	12	7	
1382	15	20	23	8	4	12	7	ST-97 complex
1383	110	26	111	102	112	12	90	
1384	81	26	18	220	20	12	90	
1385	81	1	117	71	113	12	80	
1386	102	1	33	37	44	12	10	
1387	14	26	3	4	46	12	4	
1388	117	26	3	4	46	12	36	
1389	145	1	1	1	18	12	24	ST-365 complex
1390	48	26	33	37	44	12	5	
1391	6	26	3	4	43	12	90	
1392	48	26	33	37	44	12	7	
1393	6	26	3	4	14	12	3	
1394	6	2	53	4	16	12	3	
1395	34	1	71	16	33	33	24	ST-365 complex
1396	6	4	41	5	43	12	3	
1397	117	26	123	118	43	12	181	
1398	117	26	3	4	15	12	16	
1399	48	26	118	62	66	12	52	
1400	94	2	154	5	32	12	22	
1401	43	26	18	42	39	12	88	ST-111 complex
1402	81	26	117	111	113	12	80	
1403	15	20	29	8	4	12	39	
1404	15	20	23	9	4	12	7	
1405	15	7	268	2	93	12	13	ST-23 complex
1406	59	35	106	118	102	12	48	
1407	68	20	23	8	4	12	170	
1408	15	6	23	235	4	12	39	
1409	102	109	107	22	96	12	48	
1410	15	25	23	235	4	12	39	
1411	43	26	1	42	39	12	7	ST-111 complex
1412	15	20	29	8	4	8	39	ST-97 complex
1413	256	8	43	11	9	104	8	
1414	145	1	278	1	18	52	24	ST-365 complex
1415	145	1	1	1	18	200	24	ST-365 complex
1416	3	2	31	6	16	3	4	
1417	177	2	21	5	114	3	55	ST-205 complex
1418	209	22	238	4	239	172	5	
1419	94	2	154	5	32	3	114	
1420	62	1	93	109	55	102	210	
1421	38	1	1	1	18	33	24	ST-365 complex
1422	34	1	32	16	51	33	24	ST-365 complex
1423	13	151	279	11	9	12	8	ST-142 complex
1424	33	8	146	260	2	17	7	
1425	257	76	135	127	243	115	98	
1426	34	1	93	17	18	33	24	ST-365 complex
1427	124	76	135	127	244	115	98	
1428	44	1	32	214	18	33	24	ST-365 complex
1429	34	1	71	1	18	201	89	ST-365 complex
1430	34	1	32	214	18	33	24	ST-365 complex
1431	13	8	8	11	9	12	10	ST-142 complex
1432	201	36	8	210	196	176	32	
1433	145	1	83	1	55	37	43	
1434	34	1	32	70	18	33	24	ST-365 complex
1435	6	4	41	4	43	5	36	
1436	12	8	68	30	9	12	10	
1437	247	1	83	1	55	37	43	
1438	51	14	21	5	19	3	55	ST-205 complex
1439	13	8	9	201	148	12	8	
1440	122	28	9	14	9	12	10	
1441	47	9	14	12	2	50	7	ST-18 complex
1442	12	8	8	7	9	12	10	ST-142 complex
1443	19	2	234	5	208	18	2	ST-205 complex
1444	152	10	5	218	151	136	11	
1445	64	10	22	36	57	23	168	
1446	33	126	13	19	29	17	10	
1447	216	129	223	225	118	171	128	
