ST	dnaA	fusA	gyrB	leuS	pyrG	rplB	rpoB	clonal_complex
819	4	169	4	81	187	4	25	
820	258	170	158	315	256	36	169	
821	13	2	45	26	2	2	14	
822	249	43	28	197	122	56	67	
823	36	39	192	206	135	12	20	
824	90	20	74	44	45	4	6	
825	52	20	20	169	45	4	152	
826	261	171	282	316	49	12	26	
827	259	42	49	317	240	12	20	
828	9	4	14	61	257	4	9	
829	262	15	283	318	166	11	170	
830	51	4	21	41	42	4	171	
831	263	4	13	42	39	4	6	
832	98	25	92	233	49	12	26	
833	42	3	285	82	3	16	3	
834	37	25	284	193	49	12	172	
835	266	44	61	165	1	1	43	
836	265	44	189	186	36	1	1	
837	264	44	236	319	145	118	1	
838	219	134	152	159	213	68	158	
839	127	25	36	317	108	12	26	
840	1	92	158	86	36	22	1	
841	127	42	78	112	49	12	26	
842	37	25	256	206	189	99	26	
843	153	134	230	201	199	68	100	
844	1	1	65	84	1	36	113	
845	153	98	152	201	213	68	100	
846	1	107	158	1	1	1	1	
847	208	98	170	159	199	68	109	
848	53	35	20	44	259	4	6	
849	267	172	286	320	258	112	144	
850	192	44	61	1	1	22	90	
851	53	35	20	44	260	4	6	
852	4	4	4	4	39	4	6	
853	15	2	2	22	51	2	14	
854	1	44	65	158	153	22	1	
855	42	3	60	82	3	16	3	
856	49	35	20	126	45	4	6	
857	132	18	22	64	34	8	29	
858	1	105	61	288	1	22	119	
859	230	25	168	274	141	14	93	
860	27	14	26	97	3	10	15	
861	24	14	235	52	98	18	58	
862	192	126	61	86	1	1	1	
863	3	24	178	37	19	78	17	
864	4	4	14	13	39	4	6	
865	243	14	25	52	207	18	58	
866	186	20	148	44	45	4	6	
867	51	4	4	41	92	30	25	
868	146	20	9	44	45	4	32	
869	199	15	39	16	46	11	71	
870	37	25	78	94	189	12	26	
871	22	15	102	15	101	11	10	
872	3	3	58	82	3	81	3	
873	85	63	101	103	96	6	53	
874	9	4	14	13	43	4	24	
875	14	2	30	133	37	2	14	
876	71	3	51	89	19	16	3	
877	15	2	2	18	53	2	14	
878	52	21	20	125	45	4	6	
879	152	15	102	15	101	11	133	
880	217	149	264	294	232	106	156	
881	137	98	152	162	156	68	100	
882	217	15	264	294	232	106	156	
883	58	37	4	44	42	4	6	
884	4	6	277	9	39	4	25	
885	11	6	81	9	187	4	25	
886	63	3	4	6	3	16	3	
887	11	6	4	6	39	4	9	
888	46	20	67	256	45	4	6	
889	46	40	113	40	67	6	6	
890	59	64	81	43	79	37	38	
891	4	6	4	40	37	4	25	
892	4	6	4	43	11	4	6	
893	10	35	19	44	45	4	6	
894	52	20	148	44	45	4	32	
895	16	2	45	25	55	2	14	
896	15	2	263	286	53	2	14	
897	24	173	287	326	219	18	58	
898	15	2	288	327	51	2	14	
899	269	14	289	155	262	11	15	
900	13	13	30	328	263	44	14	
901	112	18	161	173	264	8	30	
902	10	20	74	324	45	4	6	
903	16	2	48	323	2	2	14	
904	68	8	75	325	65	34	35	
905	270	39	91	92	49	12	26	
906	58	174	4	6	42	4	25	
907	13	40	59	105	2	119	14	
908	4	83	4	13	261	4	173	
909	189	33	12	321	35	4	6	
910	43	3	66	314	3	16	168	
911	271	175	290	329	265	120	174	
912	3	24	3	35	146	16	17	
913	273	176	292	330	266	121	176	
914	272	3	291	36	3	16	175	
915	24	14	43	52	267	18	21	
916	275	20	148	44	45	4	6	
917	140	19	157	167	126	8	29	
918	49	21	19	44	115	12	32	
919	274	15	294	97	268	10	15	
920	24	14	293	52	269	18	58	
921	276	18	295	331	34	8	29	
922	169	107	61	168	36	77	1	
923	51	4	15	6	270	4	6	
924	51	6	4	6	76	4	9	
925	51	4	4	6	76	4	9	
926	277	165	296	332	271	11	161	
927	9	4	297	6	11	4	39	
928	280	178	299	335	274	106	156	
929	279	25	96	334	273	14	93	
930	278	177	298	333	272	122	177	
931	59	33	80	9	87	6	6	
932	1	51	65	337	275	36	1	
933	59	40	12	9	62	6	6	
934	158	61	99	102	97	6	55	
935	36	180	302	339	49	12	179	
936	192	51	61	214	198	36	1	
937	10	20	148	118	45	12	6	
938	282	4	4	6	276	4	9	
939	53	35	20	44	45	4	180	
940	4	183	4	6	39	4	25	
941	46	20	9	341	45	24	6	
942	1	44	303	340	193	22	1	
943	10	182	9	44	45	4	20	
944	283	184	201	343	277	86	120	
945	1	48	61	342	36	22	1	
946	284	8	16	344	278	4	173	
947	49	181	20	118	279	124	32	
948	116	4	15	6	11	4	25	
949	186	21	17	45	45	4	6	
950	9	4	15	13	39	4	6	
951	4	8	139	80	37	4	6	
952	182	44	61	1	153	1	1	
953	4	4	4	6	171	4	9	
954	4	4	13	42	39	7	6	
955	9	22	14	304	39	4	9	
956	74	21	20	44	45	4	32	
957	4	4	4	4	92	30	9	
958	52	20	20	118	45	4	152	
959	46	20	19	44	45	35	32	
960	188	44	158	86	36	22	1	
961	59	9	12	115	35	6	6	
962	46	20	74	44	45	4	6	
963	98	70	91	127	49	46	20	
964	11	4	14	40	39	4	23	
965	36	26	71	72	49	12	47	
966	59	9	63	9	67	40	6	
967	51	4	4	6	39	4	25	
968	59	40	6	9	62	6	6	
969	53	20	19	44	99	4	6	
970	49	69	20	65	45	4	6	
971	72	25	91	46	49	12	47	
972	4	4	14	6	39	4	127	
973	179	128	14	6	112	4	6	
974	53	35	148	44	45	4	6	
975	15	2	274	106	51	2	14	
976	1	44	61	1	153	1	1	
977	49	20	19	65	45	4	6	
978	46	21	20	44	45	12	6	
979	1	44	72	168	153	1	1	
980	4	4	4	40	39	4	25	
981	4	4	14	4	11	4	6	
982	4	4	4	39	39	4	25	
983	71	3	60	37	19	16	19	
984	65	57	49	94	49	12	47	
985	60	44	156	168	153	1	1	
986	46	20	148	44	45	4	6	
987	179	4	14	4	39	50	6	
988	8	9	6	9	9	125	8	
989	127	25	220	239	49	12	182	
990	85	63	101	103	96	6	181	
991	96	9	82	9	242	6	6	
992	47	186	16	51	44	6	7	
993	286	21	19	129	45	12	6	
994	46	20	20	44	45	12	6	
995	188	44	158	346	36	22	1	
996	186	21	19	44	45	12	6	
997	65	25	127	144	280	12	82	
998	4	4	4	347	57	4	184	
999	59	9	217	9	195	91	6	
1000	4	4	13	6	281	4	9	
1001	42	3	305	89	19	16	3	
1002	52	20	6	65	45	28	6	
1003	52	20	19	65	45	28	6	
1004	59	9	12	9	70	6	25	
1005	51	187	101	103	68	4	55	
1006	289	43	218	352	282	61	129	
1007	58	41	14	6	69	127	6	
1008	291	77	49	30	49	12	47	
1009	237	43	308	354	283	61	12	
1010	36	180	302	339	49	12	190	
1011	68	8	75	13	39	34	9	
1012	127	25	312	356	49	12	20	
1013	293	20	74	355	290	4	6	
1014	59	40	314	9	67	6	6	
1015	4	4	68	6	39	4	25	
1016	9	4	14	61	37	131	9	
1017	66	4	68	358	11	4	25	
1018	59	40	315	9	70	6	6	
1019	51	4	15	263	11	4	6	
1020	294	190	313	357	291	6	53	
1021	59	9	12	163	70	6	6	
1022	63	189	66	68	3	130	3	
1023	36	57	312	359	49	132	26	
1024	90	20	9	360	99	28	32	
1025	295	18	316	154	292	8	28	
1026	296	92	317	217	105	22	64	
1027	59	9	319	115	70	6	6	
1028	297	149	318	361	293	106	156	
1029	43	130	58	36	19	133	192	
1030	300	25	207	362	49	12	118	
1031	161	44	158	86	153	22	194	
1032	36	57	312	359	49	12	26	
1033	59	192	321	172	35	6	6	
1034	268	3	191	35	3	81	3	
1035	71	3	83	82	3	134	3	
1036	72	25	71	283	49	12	26	
1037	18	2	27	2	51	2	14	
1038	28	14	27	123	20	122	15	
1039	150	92	195	217	154	97	93	
1040	237	43	219	197	130	67	12	
1041	18	2	45	2	51	119	14	
1042	4	6	4	77	11	36	39	
1043	80	42	322	137	284	12	185	
1044	4	22	13	6	39	4	186	
1045	250	122	272	348	285	112	187	
1046	287	15	253	349	286	11	188	
1047	4	22	68	69	37	11	24	
1048	203	110	306	189	212	8	18	
1049	28	193	119	350	287	18	89	
1051	37	194	219	351	288	12	189	
1052	288	18	323	142	126	8	29	
1053	91	20	19	178	45	4	6	
1054	243	195	324	363	294	11	16	
1055	301	196	254	216	189	12	195	
1056	302	87	325	216	49	135	20	
1057	24	14	293	52	295	18	58	
1058	303	197	326	364	296	136	196	
1059	36	25	49	30	49	21	20	
1060	36	198	312	359	49	12	26	
1061	59	40	82	87	67	6	6	
1062	61	40	82	9	67	6	6	
1063	306	1	329	70	73	22	1	
1064	169	44	61	86	228	1	1	
1065	305	106	330	367	298	138	18	
1066	151	108	328	366	297	14	197	
1067	94	68	298	368	299	11	198	
1068	68	8	75	63	65	139	35	
1069	91	59	19	44	99	137	32	
1070	122	18	179	154	164	8	28	
1071	127	25	35	221	49	12	172	
1072	2	2	2	286	2	2	73	
1073	49	72	19	44	45	4	6	
1074	57	39	49	57	49	140	20	
1075	59	9	12	115	37	6	9	
1076	8	9	6	369	9	6	8	
1077	307	21	9	65	45	4	6	
1078	51	4	14	125	37	4	6	
1079	11	4	4	4	39	50	6	
1080	140	18	22	107	241	8	29	
1081	4	4	4	6	11	4	6	
1082	310	18	42	210	34	142	199	
1083	59	47	76	371	67	6	6	
1084	309	18	34	370	34	8	29	
1085	311	18	310	372	34	143	28	
1086	7	8	5	7	300	6	7	
1087	33	19	34	28	304	8	29	
1088	49	21	74	44	45	141	32	
1089	81	199	92	92	49	12	26	
1090	111	18	336	142	32	8	80	
1091	313	201	331	374	301	6	55	
1092	33	18	34	370	32	8	29	
1093	59	9	73	375	242	53	202	
1094	4	4	4	347	39	4	25	
1095	154	202	332	376	302	144	203	
1096	75	18	64	64	32	8	29	
1097	158	113	333	195	303	6	55	
1098	33	81	334	228	241	8	204	
1099	314	18	337	252	30	8	30	
1100	312	200	39	15	46	11	201	
1101	308	113	335	373	291	6	200	
1102	13	2	174	377	2	2	14	
1103	59	47	338	379	70	146	6	
1104	18	2	45	26	51	2	205	
1105	4	89	310	6	37	4	78	
1106	256	4	310	304	38	4	9	
1107	1	44	158	168	153	1	1	
1108	318	68	340	384	306	122	177	
1109	4	4	310	6	37	4	6	
1110	256	4	4	304	38	4	9	
1111	2	2	2	1	19	2	2	
1112	13	13	30	385	52	2	13	
1113	127	26	224	244	49	12	211	
1114	49	21	19	44	45	12	6	
1115	4	4	4	169	307	4	25	
1116	4	83	342	83	76	4	4	
1117	18	2	45	26	51	2	73	
1118	49	69	19	45	252	4	32	
1119	59	40	12	9	67	40	6	
1120	9	4	344	61	89	4	9	
1121	208	98	185	236	237	68	109	
1122	78	107	65	217	36	36	1	
1123	59	9	12	9	106	6	6	
1124	51	4	15	13	43	4	6	
1125	9	205	14	6	81	4	9	
1126	59	9	345	389	79	37	215	
1127	63	3	51	35	77	27	214	
1128	95	56	112	111	309	4	63	
1129	321	57	325	388	49	14	213	
1130	52	204	20	44	45	4	6	
1131	320	20	74	387	308	12	6	
1132	59	40	12	115	62	6	6	
1133	33	110	34	370	310	8	29	
1134	324	25	92	206	312	99	26	
1135	325	134	346	391	313	68	158	
1136	326	206	347	392	314	12	158	
1137	266	44	61	86	36	148	1	
1138	208	207	230	393	237	68	217	
1139	327	208	348	394	315	149	218	
1140	322	110	200	390	120	76	28	
1141	63	3	66	68	3	16	219	
1142	323	77	92	57	49	12	216	
1143	46	20	20	65	45	12	6	
1144	126	127	137	139	128	58	79	
1145	15	2	229	386	51	2	14	
1146	49	69	20	45	45	4	6	
1147	4	4	4	40	92	4	6	
1148	59	40	63	271	106	6	6	
1149	2	58	94	18	51	39	14	
1150	41	3	66	82	77	15	17	
1151	44	9	12	9	35	6	6	
1152	4	23	4	4	11	4	9	
1153	51	23	4	6	39	4	138	
1154	59	9	73	163	62	6	6	
1155	331	216	359	404	321	61	67	
1156	4	37	351	120	11	30	124	
1157	267	211	352	399	319	85	144	
1158	90	20	74	44	322	4	6	
1159	51	4	358	6	42	4	6	
1160	330	20	148	44	45	4	6	
1161	4	4	13	42	39	4	226	
1162	153	88	357	403	156	68	225	
1163	169	44	61	396	317	1	220	
1164	123	209	136	286	2	2	14	
1165	4	4	4	395	39	4	6	
1166	79	15	354	16	320	65	11	
1167	43	3	66	407	3	16	210	
1168	65	25	127	144	316	12	82	
1169	59	9	353	9	67	6	6	
1170	4	212	4	6	37	4	25	
1171	132	18	132	400	131	8	28	
1172	169	44	65	180	228	150	1	
1173	71	3	110	37	323	16	17	
1174	335	30	360	378	324	154	12	
1175	328	92	109	181	205	22	221	
1176	155	18	361	406	126	8	29	
1177	71	3	362	89	19	16	3	
1178	4	4	4	6	203	4	228	
1179	15	2	266	408	51	2	14	
1180	150	92	349	397	318	22	99	
1181	51	214	4	401	112	152	25	
1182	17	2	162	398	110	2	14	
1183	82	213	93	141	224	4	84	
1184	2	2	239	18	51	2	222	
1185	333	217	94	2	51	2	73	
1186	334	2	343	2	51	2	14	
1187	15	2	350	2	51	2	223	
1188	59	40	82	9	67	151	6	
1189	329	215	356	402	277	153	120	
1190	150	92	355	409	154	22	224	
1191	212	4	4	410	11	30	6	
1192	338	122	363	411	325	85	187	
1193	337	9	6	9	9	6	8	
1194	336	3	285	89	3	16	3	
1195	150	92	109	145	205	22	230	
1196	4	4	4	6	39	4	39	
1197	339	9	6	9	9	6	8	
1198	9	4	14	6	39	4	138	
1199	59	9	63	9	35	40	25	
1200	340	2	288	408	51	2	14	
1201	80	27	91	206	328	12	20	
1202	4	83	4	6	261	4	173	
1203	100	4	4	39	85	4	25	
1204	42	223	285	82	3	16	3	
1205	11	4	4	4	32	4	6	
1206	153	98	357	403	156	68	225	
1207	144	129	309	237	150	12	29	
1208	144	129	165	237	150	12	29	
1209	4	4	4	6	92	4	132	
1210	16	2	369	413	327	2	13	
1211	65	57	49	94	49	12	7	
1212	9	4	14	61	37	4	1	
1213	9	4	14	61	37	4	20	
1214	40	17	39	15	46	11	112	
1215	42	3	52	37	23	16	6	
1216	47	8	16	51	44	6	47	
1217	188	18	33	199	30	8	20	
1218	188	44	158	346	36	22	9	
1219	36	25	49	126	49	21	9	
1220	161	44	61	186	153	1	58	
1221	4	9	6	9	9	6	8	
1222	36	27	35	422	49	12	10	
1223	37	4	49	30	49	82	140	
1224	94	68	108	423	332	157	32	
1225	58	4	374	4	39	4	3	
1226	256	4	4	304	333	4	9	
1227	9	4	6	6	37	4	9	
1228	42	22	13	6	39	4	186	
1229	53	35	20	9	45	4	6	
1230	156	92	349	218	334	22	99	
1231	53	4	154	44	45	4	6	
1232	345	173	294	191	183	158	1	
1233	74	20	20	65	45	4	234	
1234	156	92	349	218	45	22	99	
1235	256	4	4	304	259	4	9	
1236	1	44	65	86	1	36	1	
1237	36	27	35	90	49	12	112	
1238	72	25	92	193	49	12	26	
1239	161	44	158	86	153	22	1	
1240	90	20	20	178	45	4	32	
1241	46	20	20	44	45	4	6	
1242	178	4	4	426	92	4	6	
1243	41	3	51	427	335	16	3	
1244	346	1	375	337	336	22	1	
1245	7	8	5	424	15	6	235	
1246	19	2	46	26	51	159	13	
1247	52	224	20	44	45	4	6	
1248	4	4	4	425	4	4	4	
1249	347	15	39	134	47	65	10	
1250	4	4	4	4	39	4	25	
1251	179	4	4	6	78	4	6	
1252	15	2	45	26	51	2	14	
1253	22	225	376	428	337	65	236	
1254	51	226	4	80	203	4	25	
1255	117	227	377	429	338	14	93	
1256	348	25	96	430	339	160	93	
1257	349	40	82	9	67	6	6	
1258	151	25	96	432	340	14	93	
1259	37	25	49	431	49	21	20	
1260	4	4	4	433	59	4	6	
1261	67	21	74	44	45	4	32	
1262	4	4	4	40	95	30	6	
1263	42	24	51	35	3	16	175	
1264	51	4	14	120	11	4	36	
1265	341	73	148	44	45	12	6	
1266	1	107	368	168	1	22	1	
1267	94	208	298	417	315	11	177	
1268	66	4	15	40	57	4	232	
1269	13	2	367	2	51	2	14	
1270	342	113	371	418	161	6	55	
1271	123	2	136	286	2	2	14	
1272	71	218	87	82	3	15	19	
1273	15	2	162	419	51	2	14	
1274	2	217	366	2	2	44	231	
1275	15	158	365	416	330	105	222	
1276	192	44	156	214	329	1	1	
1277	59	47	76	9	35	6	6	
1278	13	2	45	415	51	2	14	
1279	51	4	4	6	57	4	227	
1280	59	9	63	163	70	6	42	
1281	15	158	365	416	55	105	222	
1282	10	20	148	44	45	4	6	
1283	59	9	6	9	62	6	6	
1284	41	3	66	82	3	16	17	
1285	19	221	372	18	2	2	14	
1286	2	2	30	19	51	2	14	
1287	13	219	45	414	2	155	14	
1288	11	23	4	304	4	4	6	
1289	2	2	2	2	51	2	14	
1290	15	220	370	415	51	2	222	
1291	109	25	220	420	189	12	20	
1292	343	38	67	48	331	12	233	
1293	179	23	4	6	39	4	39	
1294	36	27	35	193	49	12	20	
1295	344	75	373	421	122	61	12	
1296	66	4	4	80	203	4	25	
1297	11	4	4	6	37	4	9	
1298	83	58	94	18	51	39	14	
1299	19	2	372	105	2	2	14	
1300	51	222	21	41	42	4	6	
1301	63	3	66	68	3	156	3	
1302	57	199	49	57	49	12	20	
1303	53	35	20	438	45	4	6	
1304	140	18	248	439	230	8	28	
1305	350	4	4	410	343	4	6	
1306	15	2	382	18	51	2	14	
1307	13	230	103	105	2	2	14	
1308	13	217	381	286	110	2	14	
1309	11	4	4	6	37	4	25	
1310	41	3	66	437	342	78	192	
1311	2	2	380	2	55	2	237	
1312	156	92	355	436	105	22	64	
1313	192	44	379	435	73	22	1	
1314	2	2	378	2	341	2	14	
1315	59	47	208	434	242	6	6	
1316	59	229	59	74	62	23	6	
1317	93	228	106	107	34	8	28	
1318	82	56	93	141	104	4	63	
1319	82	140	93	141	91	4	84	
1320	22	15	283	149	133	11	137	
1321	22	15	186	149	133	11	58	
1322	82	140	93	141	224	4	84	
1323	4	22	68	69	37	4	238	
1324	4	4	4	62	59	163	6	
1325	46	20	20	96	45	162	54	
1326	275	21	19	44	45	12	32	
1327	124	38	67	216	169	164	150	
1328	4	4	4	6	345	4	25	
1329	9	4	4	6	37	4	25	
1330	153	98	170	440	344	68	217	
1331	74	20	148	44	45	4	32	
1332	353	234	158	444	73	22	1	
1333	353	105	368	1	275	165	1	
1334	22	225	39	15	337	65	137	
1335	335	75	373	121	122	47	67	
1336	319	235	385	148	132	166	58	
1337	319	14	385	148	132	166	58	
1338	4	4	4	40	11	4	115	
1339	59	9	12	75	106	6	6	
1340	51	4	4	6	39	4	9	
1341	58	4	4	6	68	4	6	
1342	354	2	48	445	51	2	14	
1343	216	158	263	327	56	105	14	
1344	275	20	74	65	99	4	6	
1345	4	4	14	4	11	59	6	
1346	66	4	4	6	11	4	6	
1347	49	21	19	44	45	4	32	
1348	46	21	19	44	45	4	6	
1349	186	35	17	44	45	4	32	
1350	58	22	14	6	39	4	9	
1351	4	4	15	6	92	4	6	
1352	41	3	51	35	335	16	3	
1353	150	92	169	217	182	22	221	
1354	103	75	117	121	348	47	67	
1355	25	3	3	14	1	2	2	
1356	24	3	1	11	2	1	8	
1357	14	3	3	5	3	1	10	
1358	6	2	11	7	4	3	3	
1359	31	3	3	18	1	1	2	
1360	3	1	1	33	2	1	12	
1361	3	3	2	3	3	1	8	
1362	8	3	3	13	3	1	2	
1363	3	2	3	3	3	1	239	
1364	6	237	11	7	4	3	3	
1365	14	236	10	29	3	8	12	
1366	357	238	4	14	3	1	2	
1367	5	3	1	25	8	6	240	
1368	3	3	2	4	3	1	241	
1369	3	3	1	4	3	168	2	
1370	356	3	10	14	3	1	2	
1371	103	75	117	121	348	167	67	
1372	74	20	74	44	45	35	32	
1373	59	9	113	9	195	6	6	
1374	8	3	24	446	3	1	2	
1375	49	21	387	44	45	12	32	
1376	36	39	67	138	349	12	26	
1377	358	213	386	447	350	4	141	
1378	71	239	87	448	254	169	3	
1379	52	21	20	44	45	4	245	
1380	53	35	20	451	45	4	6	
1381	364	43	218	453	197	61	129	
1382	192	241	158	452	153	36	1	
1383	57	39	49	57	353	12	20	
1384	1	48	61	456	36	77	1	
1385	1	243	65	86	153	22	1	
1386	1	48	150	86	138	36	247	
1387	1	1	65	70	356	22	1	
1388	37	25	392	206	312	99	26	
1389	208	240	170	393	199	171	109	
1390	153	98	152	450	354	68	217	
1391	219	98	357	454	355	171	246	
1392	153	134	394	457	355	68	217	
1393	366	242	152	455	355	171	158	
1394	365	19	42	228	30	8	29	
1395	33	19	276	370	32	8	29	
1396	10	20	19	44	45	12	6	
1397	367	111	395	458	357	172	102	
1398	36	39	192	459	49	12	20	
1399	245	18	106	460	30	17	29	
1400	111	18	397	210	359	8	28	
1401	370	4	4	171	187	4	25	
1402	368	18	22	461	126	8	28	
1403	35	25	35	47	189	12	20	
1404	294	113	396	464	358	1	249	
1405	78	107	61	463	83	22	248	
1406	289	244	218	465	360	61	250	
1407	24	245	43	52	27	18	21	
1408	369	18	22	462	32	173	29	
1409	41	3	399	37	3	15	17	
1410	289	244	218	465	360	174	250	
1411	58	37	4	6	11	30	6	
1412	74	20	74	44	45	4	6	
1413	127	25	92	317	108	132	26	
1414	90	20	17	44	45	12	32	
1415	71	3	87	37	254	16	3	
1416	46	21	19	44	13	4	6	
1417	59	9	12	13	67	6	6	
1418	59	40	208	75	62	6	6	
1419	9	4	15	13	43	30	24	
1420	11	4	4	4	37	4	25	
1421	192	44	65	467	362	175	90	
1422	9	4	14	466	11	74	9	
1423	11	4	4	6	11	4	6	
1424	11	4	4	6	11	4	25	
1425	4	37	4	40	11	4	6	
1426	4	37	15	4	92	4	6	
1427	9	4	4	85	11	30	25	
1428	51	4	15	4	76	4	23	
1429	4	37	4	85	11	30	25	
1430	4	37	14	41	92	4	6	
1431	9	4	15	125	39	4	9	
1432	74	20	17	44	45	4	6	
1433	74	21	20	44	45	4	6	
1434	178	4	15	6	11	4	25	
1435	4	37	14	125	11	50	6	
1436	90	21	20	44	45	4	32	
1437	4	37	14	6	92	4	124	
1438	4	37	14	125	39	50	25	
1439	178	4	4	6	92	4	6	
1440	4	4	4	13	276	4	6	
1441	62	4	15	6	187	4	36	
1442	4	37	4	85	42	30	124	
1443	66	4	4	40	39	30	186	
1444	4	169	4	81	112	4	6	
1445	10	20	148	178	45	4	6	
1446	62	4	203	6	187	4	36	
1447	51	37	14	410	11	4	6	
1448	330	35	148	44	45	4	6	
1449	51	4	268	85	92	30	124	
1450	330	20	148	65	99	4	6	
1451	212	4	4	304	92	4	132	
1452	4	4	209	410	11	30	123	
1453	266	44	156	186	73	22	113	
1454	4	4	4	395	37	4	6	
1455	10	21	20	118	45	4	32	
1456	10	21	17	129	45	24	32	
1457	46	20	19	44	45	29	6	
1458	49	72	19	44	363	4	6	
1459	59	9	86	468	58	6	6	
1460	59	9	400	75	67	6	6	
1461	372	4	4	4	39	4	6	
1462	373	51	156	250	36	22	90	
1463	59	9	402	469	67	6	6	
1464	374	247	403	470	364	176	251	
1465	375	195	235	191	295	11	15	
1466	53	246	20	44	45	4	6	
1467	58	4	4	39	11	4	39	
1468	126	21	9	44	45	4	33	
1469	100	4	4	40	92	30	25	
1470	4	4	14	120	187	4	25	
1471	4	251	4	6	95	4	6	
1472	11	4	4	209	11	4	138	
1473	4	4	4	62	59	4	258	
1474	58	37	4	6	42	4	255	
1475	46	249	20	44	45	29	6	
1476	391	4	18	13	11	4	9	
1477	4	256	14	77	68	30	6	
1478	382	4	4	6	37	4	25	
1479	384	4	15	6	57	4	6	
1480	4	37	407	13	11	4	6	
1481	46	20	74	44	45	12	244	
1482	377	4	15	6	92	4	6	
1483	376	21	9	44	45	4	33	
1484	4	4	4	477	39	4	6	
1485	385	35	19	44	45	4	6	
1486	51	4	407	13	95	4	6	
1487	51	4	15	473	11	30	6	
1488	53	35	409	44	45	4	6	
1489	383	20	74	44	45	24	6	
1490	51	4	4	473	42	4	25	
1491	4	37	14	125	371	50	6	
1492	4	83	4	6	261	178	173	
1493	9	4	407	6	11	30	256	
1494	4	251	4	473	11	30	6	
1495	62	4	15	480	187	4	36	
1496	11	83	408	76	37	4	257	
1497	360	4	391	6	39	74	6	
1498	4	4	407	120	372	30	6	
1499	387	37	268	120	42	4	123	
1500	388	20	404	479	64	4	6	
1501	386	253	56	478	278	34	6	
1502	379	108	96	472	370	14	93	
1503	305	106	330	367	298	177	18	
1504	158	248	313	475	358	6	55	
1505	381	254	170	476	369	68	109	
1506	380	252	406	474	368	179	253	
1507	390	2	288	26	365	2	14	
1508	389	255	410	1	152	22	252	
1509	355	9	12	75	195	7	6	
1510	1	1	61	214	1	22	1	
1511	296	92	195	145	205	22	64	
1512	150	92	411	481	154	22	259	
1513	150	92	109	217	105	22	260	
1514	355	9	12	75	195	6	6	
1515	392	258	65	482	366	22	261	
1516	1	1	65	483	1	181	113	
1517	1	107	158	1	1	1	262	
1518	125	268	197	44	45	4	6	
1519	1	259	158	86	367	22	252	
1520	161	44	61	168	153	1	263	
1521	393	92	412	484	154	22	264	
1522	150	92	349	485	105	22	99	
1523	78	260	65	486	36	36	1	
1524	1	44	61	487	373	36	1	
1525	1	107	368	168	374	22	1	
1526	184	264	419	492	184	86	120	
1527	222	262	418	490	378	183	270	
1528	397	98	230	494	380	68	109	
1529	190	25	428	254	376	104	267	
1530	398	263	415	493	302	170	101	
1531	396	202	420	495	377	184	266	
1532	399	261	414	491	379	11	271	
1533	395	27	417	489	381	12	269	
1534	69	216	416	378	122	61	268	
1535	402	99	424	497	386	188	92	
1536	406	261	421	499	385	186	276	
1537	207	18	166	174	31	189	29	
1538	407	114	427	501	384	154	277	
1539	125	268	197	44	45	4	275	
1540	404	51	65	86	383	187	1	
1541	403	202	425	498	302	144	274	
1542	405	267	426	500	248	191	29	
1543	1	107	147	86	153	1	1	
1544	414	195	439	363	400	11	16	
1545	408	25	431	510	395	14	93	
1546	192	44	88	512	397	192	1	
1547	413	25	96	509	394	160	197	
1548	409	25	433	334	227	14	93	
1549	408	25	431	502	388	14	197	
1550	410	18	430	503	390	8	278	
1551	156	92	436	508	105	22	64	
1552	150	92	109	217	389	22	99	
1553	150	92	109	507	393	22	221	
1554	151	25	432	274	387	14	197	
1555	150	92	440	217	205	22	64	
1556	1	44	61	222	228	190	1	
1557	169	48	329	346	153	22	90	
1558	208	270	434	505	392	68	109	
1559	411	269	322	112	49	12	20	
1560	394	176	413	488	375	182	265	
1561	33	18	276	511	32	8	29	
1562	166	273	442	515	402	68	109	
1563	413	271	438	513	399	14	93	
1564	1	133	225	310	83	22	1	
1565	151	25	96	274	403	14	93	
1566	413	25	96	182	396	14	93	
1567	197	272	432	274	401	14	197	
1568	412	18	429	504	391	8	279	
1569	415	241	225	337	83	22	1	
1570	151	25	437	513	398	14	93	
1571	37	25	435	506	49	12	280	
1572	416	18	441	514	126	142	29	
1573	216	158	443	133	56	105	14	
1574	241	98	444	287	237	68	109	
1575	4	4	4	6	1	30	127	
1576	72	278	71	383	160	46	172	
1577	316	277	110	518	3	16	210	
1578	229	14	235	519	98	11	16	
1579	4	4	4	6	72	4	6	
1580	15	2	2	270	53	2	14	
1581	169	1	158	250	1	181	1	
1582	140	18	22	107	241	8	28	
1583	49	20	148	44	99	4	6	
1584	1	48	225	70	83	22	1	
1585	22	15	449	15	118	11	284	
1586	422	15	448	521	166	196	283	
1587	421	279	447	520	405	195	282	
1588	59	9	208	434	195	6	6	
1589	134	97	151	158	407	1	90	
1590	211	44	61	186	406	77	1	
1591	169	1	65	73	1	33	48	
1592	208	98	230	393	237	68	217	
1593	424	87	322	523	49	12	26	
1594	363	42	78	112	331	12	26	
1595	171	281	190	168	1	22	113	
1596	270	27	91	216	49	12	47	
1597	51	4	14	41	11	30	124	
1598	4	37	203	473	112	30	6	
1599	4	4	4	40	95	199	6	
1600	56	38	35	58	169	198	20	
1601	430	24	53	37	415	16	17	
1602	429	200	451	15	411	11	287	
1603	426	284	454	524	414	106	288	
1604	427	283	453	499	413	11	276	
